CMTE_ID,CMTE_NM,CMTE_PTY_AFFILIATION,CAND_ID,total_amt,CAND_NAME,CAND_PTY_AFFILIATION
C00202176,WILLIE CARTER FOR PRESIDENT COMMITTEE,DEM,P80000268,13.0,"CARTER, WILLIE FELIX",DEM
C00508416,FRIENDS OF JOHN DELANEY,DEM,P00006213,1050816.0,"DELANEY, JOHN K.",DEM
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",REP,P80001571,181821347.0,"TRUMP, DONALD J.",REP
C00588426,ROCKY 101 LLC,REP,P60016342,18958.0,"DE  LA  FUENTE, ROQUE ROCKY",REP
C00634030,VOTE COLLINS 2020,REP,P00005439,70000.0,"COLLINS, JOE EDWARD III",REP
C00659938,FRIENDS OF ANDREW YANG,DEM,P00006486,22155563.0,"YANG, ANDREW MR.",DEM
C00662197,ADAM KOKESH AMERICAN REFERENDUM PROJECT,LIB,P00006841,26465.0,"KOKESH, ADAM",LIB
C00690842,HOWE DEFENDS AMERICA,DEM,P00008565,576.0,"HOWE, ALAN",DEM
C00691444,OJEDA FOR PRESIDENT,DEM,P00008763,1985.0,"OJEDA, RICHARD NEECE II",DEM
C00693044,PEOPLE FIRST FUTURE,DEM,P00009092,3930195.0,"CASTRO, JULIAN",DEM
C00693234,"WARREN FOR PRESIDENT, INC.",DEM,P00009621,46807392.0,"WARREN, ELIZABETH",DEM
C00694018,GILLIBRAND 2020,DEM,P00009290,4360825.0,"GILLIBRAND, KIRSTEN",DEM
C00694455,KAMALA HARRIS FOR THE PEOPLE,DEM,P00009423,24314029.0,"HARRIS, KAMALA D.",DEM
C00695510,CORY 2020,DEM,P00009795,15174233.0,"BOOKER, CORY A.",DEM
C00696054,MARIANNE WILLIAMSON FOR PRESIDENT,DEM,P00009910,2381382.0,"WILLIAMSON, MARIANNE",DEM
C00696120,PEPPE 2020,REP,P00009951,400.0,"PEPPE, JAMES",REP
C00696419,AMY FOR AMERICA,DEM,P80006117,27492734.0,"KLOBUCHAR, AMY J.",DEM
C00696948,BERNIE 2020,DEM,P60007168,87699103.0,"SANDERS, BERNARD",DEM
C00697441,WIN THE ERA PAC,DEM,P00010298,62286202.0,"BUTTIGIEG, PETE",DEM
C00697896,DARIO FOR AMERICA,IND,P00010124,250.0,"HUNTER, DARIO DAVID",PRU
C00698050,INSLEE FOR AMERICA,DEM,P00010454,3735502.0,"INSLEE, JAY R",DEM
C00698258,HICKENLOOPER 2020,DEM,P00010520,2934822.0,"HICKENLOOPER, JOHN W.",DEM
C00699090,PEOPLE POWERED ACTION,DEM,P00010793,9803384.0,"O'ROURKE, ROBERT BETO",DEM
C00699652,CHANCE FOR PRESIDENT,DEM,P00010876,5976.0,"TRAHAN, CHANCE BRADFORD MR",NON
C00699686,ROLAND FOR PRESIDENT,GRE,P00010900,10.0,"ARANJO, ROLAND",GRE
C00700138,COMMITTEE TO ELECT KIM RUFF,LIB,P00011023,12117.0,"RUFF, KIMBERLY MARGARET",LIB
C00700609,"COMMITTEE FOR PEACE, JUSTICE, AND MIKE GRAVEL",DEM,P00011254,7062.0,"GRAVEL, MAURICE ROBERT",DEM
C00700906,"WELD 2020 PRESIDENTIAL CAMPAIGN COMMITTEE, INC.",REP,P00011239,1189544.0,"WELD, WILLIAM FLOYD (BILL)",REP
C00701698,SWALWELL FOR AMERICA,DEM,P00011312,596453.0,"SWALWELL, ERIC MICHAEL",DEM
C00701979,TIM RYAN FOR AMERICA,DEM,P00011338,855787.0,"RYAN, TIMOTHY J.",DEM
C00703942,FRIENDS OF JOHN PHILLIPS JR,LIB,P00011619,3403.0,"PHILLIPS, JOHN R JR",LIB
