,ZIP_CODE,DEM,IND,LIB,NPA,OTH,REP,SEP,UN,W
0,01542,,,,,,50.0,,,
1,03051,,,,,,100.0,,,
2,03235,,,500.0,,,,,,
3,10011,650.0,,,,,,,,
4,15001,14492.0,,,,,3151.0,,,
5,15003,5106.0,,,,,698.0,,,
6,15005,9160.0,,,,,2030.0,,,
7,15007,,,,,,36.0,,,
8,15009,11646.0,757.0,,,,4004.0,,,
9,15010,21938.0,,,,,2050.0,,,
10,15012,5124.0,,,,,1599.0,,,
11,15014,350.0,100.0,,,,,,,
12,15015,8500.0,,,,,200.0,,,
13,15017,25370.0,206.0,,,,944.0,,,
14,15018,1060.0,,,,,,,,
15,15019,,,,,,341.0,,,
16,15021,,1172.0,,,,223.0,,,
17,15022,2968.0,314.0,,,,500.0,,,
18,15024,16774.0,,,,,1557.0,,,
19,15025,5262.0,,,,,970.0,,,
20,15026,3348.0,,,,,625.0,,,
21,15027,,,,,,200.0,,,
22,15028,518.0,,,,,,,,
23,15031,,,,,,1500.0,,,
24,15033,700.0,,,,,572.0,,,
25,15034,104.0,250.0,,,,,,,
26,15035,280.0,,,,,150.0,,,
27,15037,7350.0,,,,,584.0,,,
28,15042,23272.0,,,,,155.0,,,
29,15043,,,,,,75.0,,,
30,15044,72210.0,,,,,7288.0,,,
31,15045,200.0,,,,,510.0,,,
32,15046,250.0,103.0,,,,,,,
33,15047,,56.0,,,,,,,
34,15050,610.0,,,,,500.0,,,
35,15051,1366.0,,,,,,,,
36,15052,580.0,,,,,100.0,,,
37,15055,200.0,,,,,,,,
38,15056,988.0,,,,,208.0,,,
39,15057,12714.0,,,,,2653.0,,,
40,15059,1490.0,,,,,180.0,,,
41,15060,60.0,,,,,,,,
42,15061,3304.0,,,,,620.0,,,
43,15062,554.0,,,,,200.0,,,
44,15063,2994.0,,,,,716.0,,,
45,15065,1100.0,1137.0,,,,1094.0,,,
46,15066,1470.0,,,,,36.0,,,
47,15067,300.0,,,,,554.0,,,
48,15068,16432.0,,,,,2283.0,,50.0,
49,15071,23580.0,,,,,545.0,,,
50,15074,3628.0,,,,,2810.0,,,
51,15078,700.0,,,,,,,,
52,15084,4008.0,,614.0,,,175.0,,,
53,15085,1820.0,,,,119.0,1670.0,,,
54,15086,500.0,,,,,,,,
55,15089,3572.0,,,,,50.0,,,
