,ZIP_CODE,BDY,DEM,GRE,IND,LIB,REP,UN
0,00000,,,,,,9879.0,
1,00035,,,,,,500.0,
2,00196,,,,,,500.0,
3,01561,,,,,,500.0,
4,01938,,,,,,500.0,
5,01967,,,,,,500.0,
6,01985,,,,,,1000.0,
7,02845,,,,,,400.0,
8,02883,,,,,,400.0,
9,03194,,,,,,400.0,
10,03327,,,,,,2800.0,
11,05048,,100.0,,,,,
12,05366,,,,,,2000.0,
13,06082,,,,,,475.0,
14,06422,,,,,,100.0,
15,06488,,,,,,20.0,
16,07049,,50.0,,,,,
17,07306,,55.0,,,,,
18,08057,,50.0,,,,,
19,08536,,95.0,,,,,
20,08952,,,,,,500.0,
21,09438,,50.0,,,,,
22,10025,,41.0,,,,,
23,10354,,40.0,,,,,
24,10973,,,,,,1000.0,
25,11050,,600.0,,,,,
26,11211,,5650.0,,,,,
27,11735,,,,,,427.0,
28,12205,,,,,,1000.0,
29,13063,,,,,,250.0,
30,15001,,2130.0,,,,10110.0,
31,15003,,590.0,,,,299.0,
32,15005,,2302.0,,,75.0,10490.0,
33,15007,,,,,,-25.0,
34,15009,,3399.0,,,,2187.0,
35,15010,,2110.0,,,,2849.0,
36,15012,,1007.0,,,,7320.0,
37,15014,,,,,,0.0,
38,15015,,1460.0,,,,250.0,
39,15017,,2878.0,,,,22840.0,
40,15019,,45.0,,,,1883.0,
41,15021,,187.0,,,,1288.0,
42,15022,,215.0,,,,85.0,
43,15024,,1230.0,,,,2376.0,
44,15025,,722.0,,,,2573.0,
45,15026,,263.0,,,,,
46,15027,,75.0,,,,,
47,15031,,,,,,2162.0,
48,15033,,110.0,,,,,
49,15034,,,,,,376.0,
50,15037,,331.0,,,,2638.0,
51,15042,,520.0,,,,250.0,
52,15043,,,,,,99.0,
53,15044,,9951.0,,,,13333.0,
54,15045,,112.0,,,,,
55,15046,,225.0,,,,2673.0,
56,15049,,40.0,,,,,
57,15050,,180.0,,,,506.0,
58,15052,,110.0,,,,,
59,15055,,70.0,,,,,
60,15056,,383.0,,,,250.0,
61,15057,,1995.0,,,,9708.0,
62,15059,,380.0,,,,2000.0,
63,15061,,360.0,,,,875.0,
64,15062,,528.0,,,,,
65,15063,,345.0,,,600.0,5241.0,
66,15065,,837.0,,,,5518.0,
67,15066,,50.0,,,,2000.0,
68,15067,,12.0,,,,1339.0,
69,15068,,3174.0,,,,8644.0,
70,15071,,849.0,,,,5140.0,
71,15074,,,,,,2180.0,
72,15075,,50.0,,,,,
73,15078,,125.0,,,,,
74,15084,,75.0,,,50.0,3378.0,
75,15085,220.0,645.0,,,,9550.0,
76,15089,,502.0,,,,670.0,
77,15090,,10884.0,,,,24916.0,
78,15095,,150.0,,,,,
79,15101,,6958.0,,,,21335.0,
80,15102,,5073.0,,,,10736.0,
81,15104,,265.0,,,,,
82,15106,,1210.0,,,,10152.0,
83,15108,,5864.0,,,,12245.0,
84,15110,,95.0,,,,,
85,15112,,,,,,450.0,
86,15116,,2955.0,,,,645.0,
87,15120,,1478.0,,,,2306.0,
88,15122,,661.0,,,,1349.0,
89,15126,,7816.0,,,,9332.0,
90,15129,,1696.0,,,,2908.0,
91,15131,,541.0,,,,3350.0,
92,15132,,117.0,,,,500.0,
93,15133,,,,,,1373.0,
94,15135,,87.0,,,,,
